"from","to","delta","A_dm","replicate","scenario"
"Pop08","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop08","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop08","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop08","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop09","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop09","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop09","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop09","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop09","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop09","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop09","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop10","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop10","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop10","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop10","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop10","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop10","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop10","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop11","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop11","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop11","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop11","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop11","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop11","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop11","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop12","Pop13",0.579579499940826,-0.00377405916048306,1,"Flux-conserved"
"Pop12","Pop18",-0.0143477737037309,0.00043964020243114,1,"Flux-conserved"
"Pop13","Pop14",0.0760026193446636,-0.0662448942069479,1,"Flux-conserved"
"Pop14","Pop15",0.105003444896381,-0.0209783017147969,1,"Flux-conserved"
"Pop16","Pop17",-0.0190499110233027,2.69447123372739e-05,1,"Flux-conserved"
"Pop16","Pop18",-0.0194902949504085,-0.000358488863856532,1,"Flux-conserved"
"Pop16","Pop23",0.158078672859363,0.00872731665448601,1,"Flux-conserved"
"Pop17","Pop19",0.126143961927109,-0.000141426431365124,1,"Flux-conserved"
"Pop17","Pop23",0.134299350905291,0.000783153432769832,1,"Flux-conserved"
"Pop18","Pop23",0.143360796722567,0.00103724004160588,1,"Flux-conserved"
"Pop19","Pop21",0.213185496338498,0.00111325067930556,1,"Flux-conserved"
"Pop19","Pop23",0.255307410422275,0.000228148174935453,1,"Flux-conserved"
"Pop19","Pop25",-0.0619046520490711,0.000257046831316272,1,"Flux-conserved"
"Pop20","Pop21",0.0105091007673197,2.01976806074749e-05,1,"Flux-conserved"
"Pop20","Pop22",0.016242529092826,5.37327039342909e-05,1,"Flux-conserved"
"Pop20","Pop24",-0.00949381606223509,1.77449455081946e-05,1,"Flux-conserved"
"Pop20","Pop25",-0.0451474565037905,3.63307571930384e-05,1,"Flux-conserved"
"Pop21","Pop22",0.000108197533662938,0.000225242821840052,1,"Flux-conserved"
"Pop21","Pop23",0.0276445188409376,-6.51275522781847e-05,1,"Flux-conserved"
"Pop21","Pop24",-0.0380401174494264,2.79593241085904e-05,1,"Flux-conserved"
"Pop22","Pop23",0.0284739594016384,-0.000191678767134334,1,"Flux-conserved"
"Pop22","Pop24",-0.0281074936497311,2.80578229632739e-05,1,"Flux-conserved"
"Pop22","Pop25",-0.0636155235060272,4.23969301569886e-05,1,"Flux-conserved"
"Pop23","Pop24",-0.0639547527575079,5.02104588668285e-05,1,"Flux-conserved"
"Pop24","Pop25",-0.0301060117341087,8.58310104088705e-05,1,"Flux-conserved"
"Pop01","Pop03",0.143353422725967,0.00709615875596852,1,"Rate-conserved"
"Pop01","Pop04",0.106688845568392,0.078263206779235,1,"Rate-conserved"
"Pop01","Pop10",-0.003927863059903,5.53985964912141e-05,1,"Rate-conserved"
"Pop02","Pop03",-0.0993359723724985,-0.00112185828725643,1,"Rate-conserved"
"Pop02","Pop07",0.109738176675054,0.000209434192806668,1,"Rate-conserved"
"Pop02","Pop09",0.114949290933967,3.75347153246607e-05,1,"Rate-conserved"
"Pop02","Pop11",-0.0215790790278076,7.28720666111482e-05,1,"Rate-conserved"
"Pop02","Pop13",0.079358566388768,0.000224573402651135,1,"Rate-conserved"
"Pop02","Pop14",0.0416020309475457,0.000852426514788541,1,"Rate-conserved"
"Pop02","Pop15",-0.0783128327365654,0.00315435771615657,1,"Rate-conserved"
"Pop03","Pop04",-0.027100940164749,-0.00108263870477379,1,"Rate-conserved"
"Pop03","Pop06",-0.0409982343005988,5.16736332291085e-05,1,"Rate-conserved"
"Pop04","Pop05",-0.0186152378808875,0.000270964208005673,1,"Rate-conserved"
"Pop04","Pop06",0.0278428416661378,0.000109924575821261,1,"Rate-conserved"
"Pop05","Pop06",0.00214678180486566,-0.000267225785570979,1,"Rate-conserved"
"Pop05","Pop08",-0.0151343255009301,0.00128308126612032,1,"Rate-conserved"
"Pop05","Pop09",0.00885037143218678,0.00119384988095766,1,"Rate-conserved"
"Pop05","Pop10",0.0101945942905636,0.000121759099394517,1,"Rate-conserved"
"Pop05","Pop11",-0.0978142000134195,0.000243065487615415,1,"Rate-conserved"
"Pop05","Pop12",-0.0491673284942258,0.000349762271272131,1,"Rate-conserved"
"Pop05","Pop13",0.0244270200824119,0.00201426000516563,1,"Rate-conserved"
"Pop05","Pop14",-0.0517197214405539,0.00180940817532448,1,"Rate-conserved"
"Pop06","Pop07",0.00669070007274672,0.000520404444291892,1,"Rate-conserved"
"Pop06","Pop08",0.00417881148030368,0.000195319862558608,1,"Rate-conserved"
"Pop06","Pop09",0.00821778731289717,0.000806104121087554,1,"Rate-conserved"
"Pop06","Pop10",0.000896967176042873,0.000489017755818784,1,"Rate-conserved"
"Pop06","Pop13",0.00119785365173747,0.000245430514195014,1,"Rate-conserved"
"Pop06","Pop14",-0.0599508052349232,0.000486661182458632,1,"Rate-conserved"
"Pop07","Pop08",-0.0226272237188288,-0.000210855979938022,1,"Rate-conserved"
"Pop07","Pop09",0.00444713965208474,-0.00163155056342506,1,"Rate-conserved"
"Pop07","Pop10",0.00728984213859943,-0.000992194459751104,1,"Rate-conserved"
"Pop07","Pop11",-0.0861316035339642,-1.18301195307453e-05,1,"Rate-conserved"
"Pop07","Pop12",-0.037664266457698,-5.2114560314442e-05,1,"Rate-conserved"
"Pop07","Pop13",0.0360578722580054,0.000318277347146258,1,"Rate-conserved"
"Pop08","Pop09",0.0259229121863211,-8.24360815532289e-05,1,"Rate-conserved"
"Pop08","Pop10",-0.000142875382877564,-0.000234973972422747,1,"Rate-conserved"
"Pop08","Pop13",0.0640083384893642,0.00628229259392109,1,"Rate-conserved"
"Pop08","Pop14",-0.0693495996636534,0.000258451978019941,1,"Rate-conserved"
"Pop09","Pop10",0.00272002396279536,-0.000353658756397012,1,"Rate-conserved"
"Pop09","Pop12",-0.0601474808321119,0.000230672608212574,1,"Rate-conserved"
"Pop09","Pop13",0.0258502229478629,0.000564631811234046,1,"Rate-conserved"
"Pop10","Pop11",-0.0639994806504433,0.000517933632737506,1,"Rate-conserved"
"Pop10","Pop12",-0.028357994210907,0.000735910269192186,1,"Rate-conserved"
"Pop10","Pop13",0.0038561720039707,0.000193439914964062,1,"Rate-conserved"
"Pop11","Pop12",0.0205607203675025,0.000325994328005489,1,"Rate-conserved"
"Pop11","Pop13",0.0874931117190677,4.73034305000591e-05,1,"Rate-conserved"
"Pop11","Pop17",-0.0472555444120325,6.11517204345783e-05,1,"Rate-conserved"
"Pop11","Pop18",-0.0609820918506566,0.000118589065438686,1,"Rate-conserved"
"Pop12","Pop13",0.0500781886568303,8.00191925403788e-05,1,"Rate-conserved"
"Pop12","Pop14",0.00244868871065881,7.15863603211954e-05,1,"Rate-conserved"
"Pop12","Pop18",-0.0894452836283637,1.71080060112558e-05,1,"Rate-conserved"
"Pop13","Pop14",-0.0731065550710957,0.000108186704620726,1,"Rate-conserved"
"Pop13","Pop15",-0.149125845570185,4.59213439992073e-05,1,"Rate-conserved"
"Pop13","Pop16",-0.134880910733962,2.06554826100051e-05,1,"Rate-conserved"
"Pop14","Pop15",-0.103351575577457,5.64205128711091e-05,1,"Rate-conserved"
"Pop15","Pop16",-0.0924176029204153,-1.80887683048504e-05,1,"Rate-conserved"
"Pop15","Pop17",-0.035932837419163,-1.11548183229417e-05,1,"Rate-conserved"
"Pop15","Pop18",-0.0274526066033336,-4.57253225177156e-06,1,"Rate-conserved"
"Pop16","Pop17",0.0866679438756254,-1.1712968475591e-05,1,"Rate-conserved"
"Pop16","Pop18",0.0845569333071368,4.54911311341744e-07,1,"Rate-conserved"
"Pop17","Pop18",0.0454984006578244,6.80516668590308e-05,1,"Rate-conserved"
"Pop17","Pop19",-0.0528386889618661,2.22339276153019e-05,1,"Rate-conserved"
"Pop17","Pop20",-0.0380246590473343,1.90610050544736e-05,1,"Rate-conserved"
"Pop18","Pop19",-0.094225612700749,-6.86731999778432e-06,1,"Rate-conserved"
"Pop18","Pop23",0.00124922104884685,-4.98379813723048e-06,1,"Rate-conserved"
"Pop18","Pop25",0.0046556983864692,-7.69499704660927e-06,1,"Rate-conserved"
"Pop19","Pop20",0.003181001599183,2.2286291030224e-06,1,"Rate-conserved"
"Pop19","Pop23",0.0290333580448288,-2.93028330212395e-05,1,"Rate-conserved"
"Pop19","Pop25",0.0205603203537329,-3.13033439502903e-05,1,"Rate-conserved"
"Pop20","Pop21",0.00340432287631984,-4.17917825273658e-06,1,"Rate-conserved"
"Pop20","Pop24",0.0653226272288487,-0.000233708008929635,1,"Rate-conserved"
"Pop20","Pop25",0.0362466998510397,-5.44863827710462e-05,1,"Rate-conserved"
"Pop21","Pop22",0.0294694105325694,-1.61256813546816e-05,1,"Rate-conserved"
"Pop21","Pop24",0.0579731007816227,-5.21283079639543e-05,1,"Rate-conserved"
"Pop21","Pop25",0.0456803581074673,-4.73071079186588e-05,1,"Rate-conserved"
"Pop22","Pop23",0.0232064895950229,-6.74462537708898e-05,1,"Rate-conserved"
"Pop22","Pop24",0.00630603581939332,-6.74048909348409e-05,1,"Rate-conserved"
"Pop22","Pop25",0.0164536776663927,-6.72501438552699e-05,1,"Rate-conserved"
"Pop23","Pop24",0.0185676276455661,-0.000160034449296065,1,"Rate-conserved"
"Pop23","Pop25",0.0603122491944612,-1.84265596396005e-05,1,"Rate-conserved"
"Pop24","Pop25",0.0461210013429358,-3.80170424468132e-05,1,"Rate-conserved"
"Pop01","Pop02",-0.139026540915949,-0.060231978366229,2,"Isotropic"
"Pop01","Pop04",-0.057844901462489,-0.10651355066326,2,"Isotropic"
"Pop01","Pop06",0.0529375057270245,0.104028698870829,2,"Isotropic"
"Pop01","Pop07",-0.02910128019407,0.0829047633525807,2,"Isotropic"
"Pop01","Pop08",-0.0325736989967613,0.0373841570592229,2,"Isotropic"
"Pop02","Pop03",0.257890855142394,0.306479548437126,2,"Isotropic"
"Pop02","Pop06",-0.0212456933093905,0.0713077929575067,2,"Isotropic"
"Pop03","Pop04",-0.0811677533736703,-0.0271337206815947,2,"Isotropic"
"Pop03","Pop05",-0.0962098459838695,-0.0186555911781118,2,"Isotropic"
"Pop03","Pop06",0.0332829385296658,-0.0110407813509214,2,"Isotropic"
"Pop03","Pop07",-0.0200440952388955,0.0510296836658703,2,"Isotropic"
"Pop03","Pop08",0.0296630746003821,0.0158561451733577,2,"Isotropic"
"Pop03","Pop10",0.00768969651843684,0.0230551902238744,2,"Isotropic"
"Pop03","Pop25",0.00553264032821007,-0.0066850292971443,2,"Isotropic"
"Pop04","Pop05",0.0371525742138298,0.216545577545448,2,"Isotropic"
"Pop04","Pop09",-0.062620383481,0.0376528316047143,2,"Isotropic"
"Pop05","Pop06",0.121808057111019,0.0661298959151946,2,"Isotropic"
"Pop05","Pop10",0.0190885112995765,0.0255892087727415,2,"Isotropic"
"Pop05","Pop11",0.00959921585793163,0.00581246164646506,2,"Isotropic"
"Pop06","Pop07",-0.109435984507305,0.0409337753280565,2,"Isotropic"
"Pop06","Pop08",-0.0053223123992495,0.0240340887242962,2,"Isotropic"
"Pop06","Pop09",-0.0505031120945453,-0.00399159079218367,2,"Isotropic"
