"replicate","generation","k","subset","n_poly_global","n_poly_pop","He","sumAe_total","sumAe_within","ok","n_edges","mean_delta","mean_abs_delta"
3,2504,4,1,4,3,0.2246605,6.3131108519179,5.49415593307872,1,85,0.00125094577417809,0.0482474088411355
3,2504,4,2,4,3.2,0.2864615,6.63830879430116,6.03263579768703,1,98,0.00332562552148283,0.0356172646598318
3,2504,4,3,4,3.56,0.32685,6.5988045651216,6.30808223245076,1,120,-0.000514569963790039,0.0342502518585398
3,2504,5,1,5,3.04,0.1793704,7.18414579377291,6.50017709232291,1,65,0.00819564575948859,0.0644531496847867
3,2504,5,2,5,3.24,0.1863396,7.32852799164815,6.53918917184473,1,84,0.000584805218446904,0.0388242569186787
3,2504,5,3,5,3.92,0.2537188,7.63729320032956,7.15954153867535,1,115,0.00732920125907272,0.0368287064536401
3,2504,6,1,6,4.76,0.286768333333333,10.1658944230629,9.0693635080444,1,105,-0.000909425473712017,0.0343656635462487
3,2504,6,2,6,4.32,0.237255666666667,10.161126170062,8.48093097185382,1,90,-0.00817735779374122,0.0515902174493133
3,2504,6,3,6,4.2,0.258781333333333,9.42938437392593,8.79043900558072,1,109,-0.00568227003268182,0.0318505401564464
3,2504,8,1,8,5.72,0.23285575,13.2190908526747,11.2394422160752,1,98,-0.00568548456576072,0.0375749896214816
3,2504,8,2,8,6.08,0.255869,14.0390187013296,11.6179921591536,1,92,-0.0083325080071477,0.0345314872347108
3,2504,8,3,8,6.08,0.24199925,12.9455036973266,11.2987681465218,1,102,-0.00560406788881842,0.040342014721463
3,2504,10,1,10,7.08,0.2403474,15.3871396025137,14.1730739274807,1,117,0.00375638627133148,0.0215208021150584
3,2504,10,2,10,8,0.2586366,16.9112512299094,14.4384909090988,1,109,-0.00181175561231452,0.0265987878726557
3,2504,10,3,10,6.92,0.2264598,16.8551647408781,13.9154476230382,1,85,-0.00363172656607713,0.0385475925815541
3,2504,12,1,12,8.68,0.2257105,19.6666315844954,16.6086873512194,1,87,-0.00563053116950152,0.0329712074235491
3,2504,12,2,12,9.16,0.253847166666667,19.503050707403,17.3005832437708,1,93,-0.00361192862228018,0.0405418995155504
3,2504,12,3,12,8.64,0.219693833333333,18.7743878531567,16.4676849126483,1,90,-0.00194480711799865,0.0401013262444426
4,2504,2,1,2,1.64,0.217205,2.90124791549165,2.73641461068628,1,54,0.0372965951580016,0.0851379061356294
4,2504,2,2,2,1.72,0.265943,2.9211406853233,2.87805934829064,1,60,0.00606512054054968,0.0843850926678683
4,2504,2,3,2,1.8,0.273141,3.11752026597535,2.89095653892021,1,57,-0.0197645000493032,0.0722444797652537
4,2504,3,1,3,2.56,0.281768666666667,4.69258655474164,4.43338422967203,1,79,0.00404116453920595,0.0676533521585335
4,2504,3,2,3,1.28,0.113558,3.58690563317311,3.56206224265983,1,46,0.00529728761810904,0.133935002500358
4,2504,3,3,3,2.56,0.288578666666667,4.77202672500758,4.4915998754186,1,88,-0.00532873159385039,0.0585259848434786
4,2504,4,1,4,3,0.234684,5.77469879939462,5.56523678609964,1,95,-0.00237295031933077,0.0495359775836802
4,2504,4,2,4,3.04,0.242381,6.2634491776606,5.64161844734496,1,94,0.0154421079361758,0.042870932348861
4,2504,4,3,4,3.12,0.251447,6.02261534229604,5.7370182015288,1,80,-0.000239024078769229,0.0495534618011978
4,2504,5,1,5,4.16,0.2771556,7.92016130699011,7.39514960375777,1,106,0.00144979688971514,0.03140903527389
4,2504,5,2,5,3.6,0.2207932,7.71935823356576,6.85970719907254,1,102,0.011062742970346,0.0445339088587571
4,2504,5,3,5,4.4,0.3172364,8.633258693129,7.74576868885862,1,118,-0.00473626224955743,0.0252944618345035
4,2504,6,1,6,5.08,0.266521,9.34391222799328,8.68428975446036,1,115,-0.00662692688148689,0.0299110714047949
4,2504,6,2,6,4.44,0.222685,8.68457840846327,8.22699138026993,1,115,0.00554917348489362,0.0381788916533866
4,2504,6,3,6,4.6,0.250080333333333,9.35187306450508,8.58049545115399,1,91,0.00171292241778003,0.0455857332384508
4,2504,8,1,8,5.56,0.2106775,11.6715390504709,10.8300809011517,1,111,0.000457935394400264,0.0354555012902651
4,2504,8,2,8,6.48,0.25964725,12.8744105586438,11.5064988120502,1,119,0.00731642924103625,0.0306488631488389
4,2504,8,3,8,6.68,0.2885835,13.2804476670641,11.9690419882076,1,140,0.00581932063323078,0.0228722112223142
