"edge_class","mean_delta","mean_abs","n","replicate","scenario","generation"
"all",-0.00970294960322372,0.0305768638541417,98,29,"Flux-conserved",2004
"interior",0.00410100505318719,0.0340326306793631,119,30,"Flux-conserved",2004
"all",0.00410100505318719,0.0340326306793631,119,30,"Flux-conserved",2004
"interior",0.0057325312141416,0.0306990755699986,98,31,"Flux-conserved",2004
"all",0.0057325312141416,0.0306990755699986,98,31,"Flux-conserved",2004
"interior",-0.00454161575130023,0.0375048256056067,93,32,"Flux-conserved",2004
"all",-0.00454161575130023,0.0375048256056067,93,32,"Flux-conserved",2004
"interior",-0.00229504549095849,0.0258498634897094,112,33,"Flux-conserved",2004
"all",-0.00229504549095849,0.0258498634897094,112,33,"Flux-conserved",2004
"interior",0.00320425667700154,0.0212675344881687,110,34,"Flux-conserved",2004
"all",0.00320425667700154,0.0212675344881687,110,34,"Flux-conserved",2004
"interior",-0.00178398845626501,0.0259014807071802,106,35,"Flux-conserved",2004
"all",-0.00178398845626501,0.0259014807071802,106,35,"Flux-conserved",2004
"interior",0.00640397681699303,0.0348368157095552,98,36,"Flux-conserved",2004
"all",0.00640397681699303,0.0348368157095552,98,36,"Flux-conserved",2004
"interior",-0.00346472422465945,0.0321164229590006,93,37,"Flux-conserved",2004
"all",-0.00346472422465945,0.0321164229590006,93,37,"Flux-conserved",2004
"interior",-0.00257948550636747,0.0300903402517566,94,38,"Flux-conserved",2004
"all",-0.00257948550636747,0.0300903402517566,94,38,"Flux-conserved",2004
"interior",1.9841505402461e-05,0.034655883017027,92,39,"Flux-conserved",2004
"all",1.9841505402461e-05,0.034655883017027,92,39,"Flux-conserved",2004
"interior",0.00794369255427597,0.0402017373285898,98,40,"Flux-conserved",2004
"all",0.00794369255427597,0.0402017373285898,98,40,"Flux-conserved",2004
"interior",0.00560173626294585,0.0266513248842482,126,41,"Flux-conserved",2004
"all",0.00560173626294585,0.0266513248842482,126,41,"Flux-conserved",2004
"interior",-0.00627808021372751,0.0272303596491024,110,42,"Flux-conserved",2004
"all",-0.00627808021372751,0.0272303596491024,110,42,"Flux-conserved",2004
"interior",0.00266963806458778,0.0392249413566315,89,43,"Flux-conserved",2004
"all",0.00266963806458778,0.0392249413566315,89,43,"Flux-conserved",2004
"interior",0.00719947597019797,0.0302635209060101,101,44,"Flux-conserved",2004
"all",0.00719947597019797,0.0302635209060101,101,44,"Flux-conserved",2004
"interior",0.0034250993874791,0.0385947168118829,97,45,"Flux-conserved",2004
"all",0.0034250993874791,0.0385947168118829,97,45,"Flux-conserved",2004
"interior",0.00132039685913247,0.0408653946023659,80,46,"Flux-conserved",2004
"all",0.00132039685913247,0.0408653946023659,80,46,"Flux-conserved",2004
"interior",-0.00530218935114034,0.0301968090055989,84,47,"Flux-conserved",2004
"all",-0.00530218935114034,0.0301968090055989,84,47,"Flux-conserved",2004
"interior",0.0111839046353011,0.0272279110813384,120,48,"Flux-conserved",2004
"all",0.0111839046353011,0.0272279110813384,120,48,"Flux-conserved",2004
"interior",0.00508362278903078,0.0342125359988269,103,49,"Flux-conserved",2004
"all",0.00508362278903078,0.0342125359988269,103,49,"Flux-conserved",2004
"interior",0.00254702525696041,0.0386410430145691,98,50,"Flux-conserved",2004
"all",0.00254702525696041,0.0386410430145691,98,50,"Flux-conserved",2004
"interior",-0.00149040142625089,0.0232613055120611,134,1,"Rate-conserved",2004
"all",-0.00149040142625089,0.0232613055120611,134,1,"Rate-conserved",2004
"interior",0.00501277377417093,0.0408492225380683,85,2,"Rate-conserved",2004
"all",0.00501277377417093,0.0408492225380683,85,2,"Rate-conserved",2004
"interior",0.00153107919966561,0.020960772850122,107,3,"Rate-conserved",2004
"all",0.00153107919966561,0.020960772850122,107,3,"Rate-conserved",2004
"interior",0.00162938564397223,0.0287422715758485,108,4,"Rate-conserved",2004
"all",0.00162938564397223,0.0287422715758485,108,4,"Rate-conserved",2004
"interior",0.00237165687627986,0.0341595997632575,89,5,"Rate-conserved",2004
"all",0.00237165687627986,0.0341595997632575,89,5,"Rate-conserved",2004
"interior",-0.00136204726808915,0.0294565361455573,103,6,"Rate-conserved",2004
"all",-0.00136204726808915,0.0294565361455573,103,6,"Rate-conserved",2004
"interior",-0.00229642541909408,0.0336278918039448,85,7,"Rate-conserved",2004
"all",-0.00229642541909408,0.0336278918039448,85,7,"Rate-conserved",2004
"interior",0.00242287936316261,0.0299933764428201,92,8,"Rate-conserved",2004
"all",0.00242287936316261,0.0299933764428201,92,8,"Rate-conserved",2004
