"alpha","fpr","fpr_int","fpr_bw","n_edges","n_edges_int","mean_cGD","median_cGD","cond","replicate","generation"
0.01,0.027027027027027,0.027027027027027,0.018018018018018,111,111,7.16109736369845,7.18195386439635,5,1,2334
0.05,0.0810810810810811,0.0810810810810811,0.036036036036036,111,111,7.16109736369845,7.18195386439635,5,1,2334
0.1,0.153153153153153,0.153153153153153,0.045045045045045,111,111,7.16109736369845,7.18195386439635,5,1,2334
0.01,0.00819672131147541,0.00819672131147541,0,122,122,8.04891578489494,8.07277492548777,5,1,2669
0.05,0.00819672131147541,0.00819672131147541,0.0327868852459016,122,122,8.04891578489494,8.07277492548777,5,1,2669
0.1,0.040983606557377,0.040983606557377,0.0655737704918033,122,122,8.04891578489494,8.07277492548777,5,1,2669
0.01,0,0,0,104,104,7.46366971237836,6.97276504993951,5,1,2999
0.05,0.0288461538461538,0.0288461538461538,0.0192307692307692,104,104,7.46366971237836,6.97276504993951,5,1,2999
0.1,0.0576923076923077,0.0576923076923077,0.0480769230769231,104,104,7.46366971237836,6.97276504993951,5,1,2999
0.01,0.0192307692307692,0.0192307692307692,0,104,104,4.51225588209518,4.07182441895349,5,2,2004
0.05,0.0480769230769231,0.0480769230769231,0.0192307692307692,104,104,4.51225588209518,4.07182441895349,5,2,2004
0.1,0.105769230769231,0.105769230769231,0.0288461538461538,104,104,4.51225588209518,4.07182441895349,5,2,2004
0.01,0.0379746835443038,0.0379746835443038,0,79,79,6.48729167033262,6.03496464059978,5,2,2334
0.05,0.113924050632911,0.113924050632911,0,79,79,6.48729167033262,6.03496464059978,5,2,2334
0.1,0.139240506329114,0.139240506329114,0.0759493670886076,79,79,6.48729167033262,6.03496464059978,5,2,2334
0.01,0.0813953488372093,0.0813953488372093,0,86,86,6.54670572321273,5.6734075311426,5,2,2669
0.05,0.162790697674419,0.162790697674419,0.0348837209302326,86,86,6.54670572321273,5.6734075311426,5,2,2669
0.1,0.22093023255814,0.22093023255814,0.0581395348837209,86,86,6.54670572321273,5.6734075311426,5,2,2669
0.01,0.103448275862069,0.103448275862069,0.0114942528735632,87,87,6.8100260283266,6.33366152719566,5,2,2999
0.05,0.137931034482759,0.137931034482759,0.0344827586206897,87,87,6.8100260283266,6.33366152719566,5,2,2999
0.1,0.252873563218391,0.252873563218391,0.0459770114942529,87,87,6.8100260283266,6.33366152719566,5,2,2999
0.01,0.015625,0.015625,0,128,128,4.24995717973428,3.89993298045024,5,3,2004
0.05,0.0625,0.0625,0,128,128,4.24995717973428,3.89993298045024,5,3,2004
0.1,0.125,0.125,0.0625,128,128,4.24995717973428,3.89993298045024,5,3,2004
0.01,0.021505376344086,0.021505376344086,0,93,93,7.08066192341361,6.16990937259966,5,3,2334
0.05,0.0860215053763441,0.0860215053763441,0.021505376344086,93,93,7.08066192341361,6.16990937259966,5,3,2334
0.1,0.0860215053763441,0.0860215053763441,0.0860215053763441,93,93,7.08066192341361,6.16990937259966,5,3,2334
0.01,0.0531914893617021,0.0531914893617021,0.0106382978723404,94,94,6.96122794584605,6.13511055288701,5,3,2669
0.05,0.106382978723404,0.106382978723404,0.0319148936170213,94,94,6.96122794584605,6.13511055288701,5,3,2669
0.1,0.159574468085106,0.159574468085106,0.0957446808510638,94,94,6.96122794584605,6.13511055288701,5,3,2669
0.01,0.08,0.08,0,75,75,7.12167012238386,6.09394840730089,5,3,2999
0.05,0.173333333333333,0.173333333333333,0.0266666666666667,75,75,7.12167012238386,6.09394840730089,5,3,2999
0.1,0.2,0.2,0.04,75,75,7.12167012238386,6.09394840730089,5,3,2999
0.01,0.032520325203252,0.032520325203252,0,123,123,4.39453453619544,4.00188701447414,5,4,2004
0.05,0.0813008130081301,0.0813008130081301,0.032520325203252,123,123,4.39453453619544,4.00188701447414,5,4,2004
0.1,0.121951219512195,0.121951219512195,0.0975609756097561,123,123,4.39453453619544,4.00188701447414,5,4,2004
0.01,0.0247933884297521,0.0247933884297521,0,121,121,6.75464702649285,6.33549944106175,5,4,2334
0.05,0.115702479338843,0.115702479338843,0.0247933884297521,121,121,6.75464702649285,6.33549944106175,5,4,2334
0.1,0.181818181818182,0.181818181818182,0.115702479338843,121,121,6.75464702649285,6.33549944106175,5,4,2334
0.01,0.0113636363636364,0.0113636363636364,0,88,88,6.79415442217319,6.06389104011047,5,4,2669
0.05,0.0454545454545455,0.0454545454545455,0.0113636363636364,88,88,6.79415442217319,6.06389104011047,5,4,2669
0.1,0.0681818181818182,0.0681818181818182,0.0227272727272727,88,88,6.79415442217319,6.06389104011047,5,4,2669
0.01,0.00952380952380952,0.00952380952380952,0,105,105,6.89455269862884,6.24903696977393,5,4,2999
0.05,0.0952380952380952,0.0952380952380952,0.00952380952380952,105,105,6.89455269862884,6.24903696977393,5,4,2999
0.1,0.104761904761905,0.104761904761905,0.0571428571428571,105,105,6.89455269862884,6.24903696977393,5,4,2999
0.01,0.0416666666666667,0.0416666666666667,0,96,96,4.90415557670389,4.30762604514991,5,5,2004
0.05,0.0833333333333333,0.0833333333333333,0.0208333333333333,96,96,4.90415557670389,4.30762604514991,5,5,2004
0.1,0.09375,0.09375,0.0416666666666667,96,96,4.90415557670389,4.30762604514991,5,5,2004
0.01,0.0178571428571429,0.0178571428571429,0,112,112,8.83557233889104,7.73779381229768,5,5,2334
0.05,0.0892857142857143,0.0892857142857143,0.0178571428571429,112,112,8.83557233889104,7.73779381229768,5,5,2334
0.1,0.196428571428571,0.196428571428571,0.0446428571428571,112,112,8.83557233889104,7.73779381229768,5,5,2334
0.01,0,0,0,97,97,8.77975225149388,8.00920750110997,5,5,2669
0.05,0.0206185567010309,0.0206185567010309,0.0103092783505155,97,97,8.77975225149388,8.00920750110997,5,5,2669
0.1,0.0618556701030928,0.0618556701030928,0.0309278350515464,97,97,8.77975225149388,8.00920750110997,5,5,2669
0.01,0.0618556701030928,0.0618556701030928,0,97,97,8.52149961607396,7.28097786278272,5,5,2999
0.05,0.175257731958763,0.175257731958763,0.0309278350515464,97,97,8.52149961607396,7.28097786278272,5,5,2999
0.1,0.247422680412371,0.247422680412371,0.0515463917525773,97,97,8.52149961607396,7.28097786278272,5,5,2999
0.01,0,0,0,140,140,4.54511408088058,4.6082632682163,6,1,2004
0.05,0.0142857142857143,0.0142857142857143,0.0142857142857143,140,140,4.54511408088058,4.6082632682163,6,1,2004
0.1,0.0642857142857143,0.0642857142857143,0.0571428571428571,140,140,4.54511408088058,4.6082632682163,6,1,2004
0.01,0,0,0.00680272108843537,147,147,9.14410854247079,9.53794251914447,6,1,2334
0.05,0.0476190476190476,0.0476190476190476,0.0204081632653061,147,147,9.14410854247079,9.53794251914447,6,1,2334
