"replicate","phase","generation","n_edges","diameter","mean_delta","mean_abs_delta"
1,"burnin",1034,99,14.8710209104642,0.00137995415632561,0.0372167317801842
1,"burnin",1039,101,15.4131245259941,-0.00111527122981239,0.0305163042823258
1,"burnin",1044,100,15.8297342013088,-9.33484684066444e-05,0.0330544001634987
1,"burnin",1049,109,14.7818340801976,-0.0011892426461996,0.0285326316443939
1,"burnin",1054,94,16.4740479438827,-0.000346757422417722,0.0399163471746607
1,"burnin",1059,86,16.7649464495119,0.006069297761836,0.0401936737031362
1,"burnin",1064,106,14.0604483404891,0.000768526143814545,0.0371369925184563
1,"burnin",1069,96,14.7628957506251,-0.00572470639302828,0.0328791812815318
1,"burnin",1074,107,15.5700192620803,0.00128724513930836,0.0254064884522159
1,"burnin",1079,109,14.5312374048113,0.00671725716372468,0.02906123068507
1,"burnin",1084,100,15.81804922343,0.00367007772325211,0.0350516040337001
1,"burnin",1089,103,14.1978776634164,-0.00153125594044797,0.0314589672545222
1,"burnin",1094,97,15.1709466752655,0.00326998042082953,0.0347331346566551
1,"burnin",1099,101,14.4694730032864,0.00168925829091069,0.0327794483372311
1,"burnin",1104,96,15.0683277801262,0.000178247664346014,0.0359212835811626
1,"burnin",1109,103,15.1094398058961,0.00922643293431942,0.0327922436496492
1,"burnin",1114,91,15.0539063000628,0.0157471705916335,0.0532373835419827
1,"burnin",1119,106,15.5249282703351,0.00599951022106231,0.0352788368880033
1,"burnin",1124,116,15.4720206414664,0.00333655470022143,0.026821701654878
1,"burnin",1129,111,15.0633459434412,-0.00066832152681444,0.0253893225181814
1,"burnin",1134,93,15.6830456258073,-0.00169582362628617,0.0376007308704826
1,"burnin",1139,91,15.8912853854646,-0.0055736762937597,0.0339824516191244
1,"burnin",1144,99,15.9255103038486,0.000738259260302682,0.0342343028196325
1,"burnin",1149,108,15.1079220915196,0.00269590897441714,0.0392230058305943
1,"burnin",1154,99,16.3269772372569,0.00298149975693045,0.0415731089138226
1,"burnin",1159,108,17.1107228810922,0.00219056904803097,0.0422187324910396
1,"burnin",1164,105,15.7107775567713,-0.00310908010183186,0.0289654937613354
1,"burnin",1169,97,16.3997769696851,-0.00216497189842532,0.0320074223909118
1,"burnin",1174,116,16.3382614346115,-0.0027982406589349,0.0300635942935788
1,"burnin",1179,102,16.5874588079261,-0.00752827985736021,0.0296619287313748
1,"burnin",1184,109,16.7639710591776,-0.00164510321547494,0.0318043860059516
1,"burnin",1189,97,18.8270224850064,6.67844860567108e-05,0.037957503494357
1,"burnin",1194,96,17.4236806704201,0.00270210913830188,0.0304815108926652
1,"burnin",1199,92,15.7485974602685,-0.0050827514221384,0.0326053276157783
1,"burnin",1204,106,15.4686350706233,0.00493883066995539,0.0380810506818587
1,"burnin",1209,111,15.2165234229032,-0.00138016506518095,0.034283393624548
1,"burnin",1214,95,19.8722070332954,0.00520453606641814,0.0386773757181763
1,"burnin",1219,104,16.9382127256618,-0.00560440958505272,0.0335951901868222
1,"burnin",1224,96,17.0817685831377,0.000751325895368032,0.0303798065692206
1,"burnin",1229,101,16.5873709335358,0.0036250903683446,0.040092560697812
1,"burnin",1234,101,15.0575356563338,0.00581802457532647,0.0352999791265599
1,"burnin",1239,97,15.295925395255,0.00797663233876804,0.0374874418113619
1,"burnin",1244,106,14.4395755741318,0.0066976748611208,0.0304984604334123
1,"burnin",1249,98,14.3781272340483,0.000579716896978926,0.0325007349689839
1,"burnin",1254,107,13.9870473770133,0.00345236518795835,0.0263487159951899
1,"burnin",1259,105,13.6590838395064,0.00424847908570612,0.0268334151231583
1,"burnin",1264,104,12.8180258828211,-0.00672910162055477,0.0261891565858486
1,"burnin",1269,111,13.3029113784757,-0.000979708529387143,0.0242855002153813
1,"burnin",1274,113,12.8506001919325,-0.00595471203308836,0.0254504543146203
1,"burnin",1279,105,13.2028715869488,-0.00639621669055992,0.025416505906943
1,"burnin",1284,108,13.0460630886757,0.000538102747491744,0.0288877489454975
