"replicate","scenario","generation","method","Excluded","Exclusion","rho_all","rmse_all","mae_all","rho_corr","rmse_corr","mae_corr","auc_corr"
1,"Isotropic",2304,"divMigrate",FALSE,"",0.451911438421762,0.206776073530908,0.130088755694316,NA,0.596922066142243,0.574820971178239,0.980865036231884
1,"Isotropic",2304,"gravity",FALSE,"",0.511359360693079,0.292895782986976,0.176080499960193,NA,0.302024784720359,0.288924240557877,0.979544082125604
1,"Isotropic",2309,"divMigrate",FALSE,"",0.450457206495281,0.203807709019846,0.12243806727409,NA,0.609275095786532,0.583937477722866,0.979317632850242
1,"Isotropic",2309,"gravity",FALSE,"",0.50770153019442,0.27253352002844,0.167597677260226,NA,0.364378364180002,0.349362987892857,0.979430857487923
1,"Isotropic",2314,"divMigrate",FALSE,"",0.455671159987786,0.209225530885823,0.104758260466627,NA,0.691028554877801,0.666126737721813,0.984865640096618
1,"Isotropic",2314,"gravity",FALSE,"",0.535096234965266,0.280243898509933,0.153681496748333,NA,0.256460968700808,0.232229116449187,0.982072765700483
1,"Isotropic",2319,"divMigrate",FALSE,"",0.45414598991855,0.19085131696061,0.115508935848505,NA,0.573845224410655,0.539100592764691,0.983242753623188
1,"Isotropic",2319,"gravity",FALSE,"",0.525285457875564,0.259074038179265,0.151526821022728,NA,0.346856628177981,0.33266298659716,0.98275211352657
1,"Isotropic",2324,"divMigrate",FALSE,"",0.452727227063447,0.194022890503971,0.109975833973441,NA,0.587018806725987,0.543011215431857,0.98173309178744
1,"Isotropic",2324,"gravity",FALSE,"",0.546349613637603,0.266920690826087,0.141368136863473,NA,0.265060343099114,0.24110447061684,0.981355676328502
1,"Isotropic",2329,"divMigrate",FALSE,"",0.454039582704417,0.196321937471925,0.125464873019372,NA,0.534978491675272,0.503177557816133,0.983129528985507
1,"Isotropic",2329,"gravity",FALSE,"",0.519544750270884,0.290416039333042,0.166434008791749,NA,0.267016262338308,0.249418212689731,0.978751509661836
1,"Isotropic",2334,"divMigrate",FALSE,"",0.448932036426045,0.205084178023075,0.140698582964977,NA,0.497280756382453,0.452021130520206,0.977694746376812
1,"Isotropic",2334,"gravity",FALSE,"",0.504532051231651,0.353124424020153,0.206151594376895,NA,0.159886405385989,0.136132748604857,0.978562801932367
1,"Isotropic",2339,"divMigrate",FALSE,"",0.443611675719408,0.204556531276172,0.122037170678937,NA,0.606314006312523,0.571394337240451,0.972033514492754
1,"Isotropic",2339,"gravity",FALSE,"",0.507635437765876,0.29649411671917,0.173143994984141,NA,0.276500828288684,0.254911680514697,0.972599637681159
1,"Isotropic",2344,"divMigrate",FALSE,"",0.445810758144818,0.21695211948447,0.106129745565245,NA,0.719872803758143,0.697783969238067,0.974373490338164
1,"Isotropic",2344,"gravity",FALSE,"",0.485951916172782,0.302488070169155,0.174256030184529,NA,0.333640926705403,0.280656773090261,0.948973429951691
1,"Isotropic",2349,"divMigrate",FALSE,"",0.443824490147674,0.208475759426902,0.11258273861169,NA,0.652120479206665,0.619431899764727,0.972259963768116
1,"Isotropic",2349,"gravity",FALSE,"",0.516067650755439,0.302935400407708,0.175935197754647,NA,0.249231943946488,0.229897794817003,0.980449879227053
1,"Isotropic",2354,"divMigrate",FALSE,"",0.447335928214054,0.21076311716571,0.113831265521149,NA,0.675245864797085,0.652789617537463,0.975996376811594
1,"Isotropic",2354,"gravity",FALSE,"",0.521142089274476,0.285621700431844,0.165372445393503,NA,0.292638721024372,0.276390010614775,0.980223429951691
1,"Isotropic",2359,"divMigrate",FALSE,"",0.44783249521334,0.205035748705519,0.119568509656543,NA,0.622992128409718,0.590317986436532,0.976524758454106
1,"Isotropic",2359,"gravity",FALSE,"",0.5077947979352,0.320390808688976,0.192393797978997,NA,0.232489296336887,0.213493239654983,0.981657608695652
1,"Isotropic",2364,"divMigrate",FALSE,"",0.451592216779364,0.195401685898579,0.120845776387074,NA,0.54525641890397,0.508471432516608,0.980525362318841
1,"Isotropic",2364,"gravity",FALSE,"",0.538864233635274,0.289494112779711,0.15680130583761,NA,0.227967032884939,0.211605005799287,0.983997584541063
1,"Isotropic",2369,"divMigrate",FALSE,"",0.449073912711556,0.20091629644203,0.117894288076612,NA,0.596459701433835,0.563787085894167,0.977845712560386
1,"Isotropic",2369,"gravity",FALSE,"",0.518638091152963,0.29018865117386,0.168189587937869,NA,0.271087803334279,0.255577875765693,0.980412137681159
1,"Isotropic",2374,"divMigrate",FALSE,"",0.458615092912125,0.192036424662515,0.12847050899269,NA,0.512438467951812,0.483492647873287,0.987998188405797
1,"Isotropic",2374,"gravity",FALSE,"",0.52214857358445,0.321599205711445,0.183592771401046,NA,0.185281179130142,0.167674180224093,0.986111111111111
1,"Isotropic",2379,"divMigrate",FALSE,"",0.455883974416051,0.20026401972611,0.111256006862451,NA,0.628507237633847,0.602546913462422,0.985092089371981
1,"Isotropic",2379,"gravity",FALSE,"",0.522288896764234,0.29291519909911,0.167263464530821,NA,0.251109465960577,0.232779918990185,0.981280193236715
1,"Isotropic",2384,"divMigrate",FALSE,"",0.453365670348243,0.207248747946312,0.108727481556481,NA,0.671459318391715,0.649499177441426,0.982412439613527
1,"Isotropic",2384,"gravity",FALSE,"",0.50854083839989,0.319776949910646,0.189657339626187,NA,0.2263656233561,0.206561216702496,0.980223429951691
1,"Isotropic",2389,"divMigrate",FALSE,"",0.456451479558093,0.220413680227924,0.0988670203389606,NA,0.75197747767784,0.736187190501287,0.98569595410628
1,"Isotropic",2389,"gravity",FALSE,"",0.521343044932397,0.281710906832568,0.161876078606204,NA,0.288878503845993,0.272870631578234,0.979128925120773
1,"Isotropic",2394,"divMigrate",FALSE,"",0.456948046557379,0.214478919196409,0.103842354301473,NA,0.714616157436353,0.696128448311562,0.986224335748792
1,"Isotropic",2394,"gravity",FALSE,"",0.535764534556118,0.275809216323266,0.149511651364083,NA,0.261302897073227,0.241976550829956,0.979732789855073
1,"Isotropic",2399,"divMigrate",FALSE,"",0.455671159987786,0.191470260796623,0.120161465005538,NA,0.531550096121936,0.503708510101216,0.984865640096618
