"cond","replicate","alternative","sign_concord","rho_signed","rho_abs","dbar_pres"
2,9,"scale x0.5",0.794871794871795,0.723670729005649,0.502994240631307,1
2,9,"scale x2",0.807692307692308,0.767021987478542,0.801310974655868,1
2,9,"perplexity",0.705128205128205,0.421941982726657,0.47012691131423,1
3,1,"global",0.814814814814815,0.741124661246612,0.561585365853658,0
3,1,"scale x0.5",0.753086419753086,0.611878952122855,0.344715447154472,1
3,1,"scale x2",0.814814814814815,0.816214995483288,0.611946702800361,0
3,1,"perplexity",0.728395061728395,0.449074074074074,0.21513098464318,1
3,11,"global",0.871428571428571,0.618357741500884,0.543750984200304,1
3,11,"scale x0.5",0.871428571428571,0.558483369201967,0.230941507882351,1
3,11,"scale x2",0.857142857142857,0.838993578639791,0.740731020243907,1
3,11,"perplexity",0.828571428571429,0.526324077476248,0.421482686823089,1
3,12,"global",0.833333333333333,0.608747595423712,0.701164321150147,1
3,12,"scale x0.5",0.761904761904762,0.568229219398603,0.514710944618811,1
3,12,"scale x2",0.845238095238095,0.60273362356991,0.723357294725119,1
3,12,"perplexity",0.702380952380952,0.231183557760454,0.454510478890351,1
3,13,"global",0.869565217391304,0.592254328203296,0.348727549507251,1
3,13,"scale x0.5",0.8,0.517592511591287,0.375056863911537,1
3,13,"scale x2",0.828571428571429,0.77618756014347,0.636975216324053,1
3,13,"perplexity",0.753623188405797,0.173424664731199,0.217536983745103,1
3,14,"global",0.831168831168831,0.81344970818655,0.669540985330459,1
3,14,"scale x0.5",0.792207792207792,0.669304379830696,0.470555760029444,1
3,14,"scale x2",0.844155844155844,0.903964456596036,0.771307639728692,1
3,14,"perplexity",0.701298701298701,0.644802565855197,0.604500762395499,1
3,15,"global",0.8125,0.432692307692308,0.492673992673993,1
3,15,"scale x0.5",0.75,0.516849816849817,0.277884615384615,1
3,15,"scale x2",0.71875,0.652014652014652,0.408653846153846,1
3,15,"perplexity",0.6875,0.0460622710622711,0.373260073260073,1
3,16,"global",0.8125,0.564080303852415,0.703309820944113,1
3,16,"scale x0.5",0.75,0.608749321758003,0.484468258274552,1
3,16,"scale x2",0.8125,0.592878459034183,0.544370591427021,0
3,16,"perplexity",0.677083333333333,0.21223548562127,0.52502712967987,1
3,17,"global",0.871794871794872,0.823619418556127,0.54635238179542,1
3,17,"scale x0.5",0.717948717948718,0.537525765373867,0.34655218199522,0
3,17,"scale x2",0.833333333333333,0.808773504976036,0.557505785353887,1
3,17,"perplexity",0.692307692307692,0.312737895016376,0.145588588626563,0
3,19,"global",0.836065573770492,0.403225806451613,0.386832363828662,1
3,19,"scale x0.5",0.918032786885246,0.497673188789,0.247540983606557,1
3,19,"scale x2",0.786885245901639,0.697038603913273,0.679799048122686,1
3,19,"perplexity",0.786885245901639,0.234003172924379,0.197990481226864,1
3,20,"global",0.701492537313433,0.356593438054702,0.520384791571232,0
3,20,"scale x0.5",0.761194029850746,0.619523414192181,0.434294657762384,1
3,20,"scale x2",0.776119402985075,0.747783599144628,0.61001097488105,0
3,20,"perplexity",0.641791044776119,0.212106463597699,0.296645512252856,1
3,21,"global",0.786666666666667,0.587226173541963,0.598492176386913,1
3,21,"scale x0.5",0.826666666666667,0.578719772403983,0.306543385490754,1
3,21,"scale x2",0.746666666666667,0.790014224751067,0.740341394025605,1
