"Stratum","He","n_poly","pop_index","is_terminus","replicate","scenario","generation"
"Pop23",0.212915,15,23,FALSE,10,"Isotropic",2004
"Pop24",0.166385,13,24,FALSE,10,"Isotropic",2004
"Pop25",0.161115,10,25,TRUE,10,"Isotropic",2004
"Pop01",0.1615375,10,1,TRUE,11,"Isotropic",2004
"Pop02",0.14815,10,2,FALSE,11,"Isotropic",2004
"Pop03",0.180165,12,3,FALSE,11,"Isotropic",2004
"Pop04",0.1670925,12,4,FALSE,11,"Isotropic",2004
"Pop05",0.1936075,12,5,FALSE,11,"Isotropic",2004
"Pop06",0.2123575,12,6,FALSE,11,"Isotropic",2004
"Pop07",0.184765,12,7,FALSE,11,"Isotropic",2004
"Pop08",0.1890075,12,8,FALSE,11,"Isotropic",2004
"Pop09",0.1875775,13,9,FALSE,11,"Isotropic",2004
"Pop10",0.18529,11,10,FALSE,11,"Isotropic",2004
"Pop11",0.1821375,11,11,FALSE,11,"Isotropic",2004
"Pop12",0.2088075,13,12,FALSE,11,"Isotropic",2004
"Pop13",0.2211325,14,13,FALSE,11,"Isotropic",2004
"Pop14",0.23066,14,14,FALSE,11,"Isotropic",2004
"Pop15",0.2235525,13,15,FALSE,11,"Isotropic",2004
"Pop16",0.2247175,12,16,FALSE,11,"Isotropic",2004
"Pop17",0.19393,14,17,FALSE,11,"Isotropic",2004
"Pop18",0.17866,13,18,FALSE,11,"Isotropic",2004
"Pop19",0.18881,12,19,FALSE,11,"Isotropic",2004
"Pop20",0.196895,14,20,FALSE,11,"Isotropic",2004
"Pop21",0.254425,14,21,FALSE,11,"Isotropic",2004
"Pop22",0.238725,14,22,FALSE,11,"Isotropic",2004
"Pop23",0.20541,13,23,FALSE,11,"Isotropic",2004
"Pop24",0.180405,12,24,FALSE,11,"Isotropic",2004
"Pop25",0.16586,10,25,TRUE,11,"Isotropic",2004
"Pop01",0.16,10,1,TRUE,12,"Isotropic",2004
"Pop02",0.199575,10,2,FALSE,12,"Isotropic",2004
"Pop03",0.205485,12,3,FALSE,12,"Isotropic",2004
"Pop04",0.23372,13,4,FALSE,12,"Isotropic",2004
"Pop05",0.232125,15,5,FALSE,12,"Isotropic",2004
"Pop06",0.2264125,14,6,FALSE,12,"Isotropic",2004
"Pop07",0.216095,13,7,FALSE,12,"Isotropic",2004
"Pop08",0.22061,16,8,FALSE,12,"Isotropic",2004
"Pop09",0.2450325,16,9,FALSE,12,"Isotropic",2004
"Pop10",0.23977,15,10,FALSE,12,"Isotropic",2004
"Pop11",0.256145,16,11,FALSE,12,"Isotropic",2004
"Pop12",0.26012,16,12,FALSE,12,"Isotropic",2004
"Pop13",0.2616325,16,13,FALSE,12,"Isotropic",2004
"Pop14",0.2307425,13,14,FALSE,12,"Isotropic",2004
"Pop15",0.23733,14,15,FALSE,12,"Isotropic",2004
"Pop16",0.22713,14,16,FALSE,12,"Isotropic",2004
"Pop17",0.197895,13,17,FALSE,12,"Isotropic",2004
"Pop18",0.223505,13,18,FALSE,12,"Isotropic",2004
"Pop19",0.217835,13,19,FALSE,12,"Isotropic",2004
"Pop20",0.191365,12,20,FALSE,12,"Isotropic",2004
"Pop21",0.1871075,12,21,FALSE,12,"Isotropic",2004
"Pop22",0.17681,11,22,FALSE,12,"Isotropic",2004
"Pop23",0.18354,12,23,FALSE,12,"Isotropic",2004
"Pop24",0.1642475,11,24,FALSE,12,"Isotropic",2004
"Pop25",0.123725,10,25,TRUE,12,"Isotropic",2004
"Pop01",0.13073,8,1,TRUE,13,"Isotropic",2004
"Pop02",0.1479075,10,2,FALSE,13,"Isotropic",2004
"Pop03",0.1751575,10,3,FALSE,13,"Isotropic",2004
"Pop04",0.1982575,13,4,FALSE,13,"Isotropic",2004
"Pop05",0.22559,15,5,FALSE,13,"Isotropic",2004
"Pop06",0.2707125,15,6,FALSE,13,"Isotropic",2004
"Pop07",0.2824175,15,7,FALSE,13,"Isotropic",2004
"Pop08",0.28624,16,8,FALSE,13,"Isotropic",2004
"Pop09",0.290455,17,9,FALSE,13,"Isotropic",2004
"Pop10",0.295835,17,10,FALSE,13,"Isotropic",2004
"Pop11",0.314305,18,11,FALSE,13,"Isotropic",2004
"Pop12",0.300335,17,12,FALSE,13,"Isotropic",2004
"Pop13",0.2955575,17,13,FALSE,13,"Isotropic",2004
"Pop14",0.28185,17,14,FALSE,13,"Isotropic",2004
"Pop15",0.28432,18,15,FALSE,13,"Isotropic",2004
"Pop16",0.2956175,17,16,FALSE,13,"Isotropic",2004
"Pop17",0.2607625,17,17,FALSE,13,"Isotropic",2004
"Pop18",0.2978375,17,18,FALSE,13,"Isotropic",2004
"Pop19",0.293275,18,19,FALSE,13,"Isotropic",2004
"Pop20",0.2625325,17,20,FALSE,13,"Isotropic",2004
"Pop21",0.24133,16,21,FALSE,13,"Isotropic",2004
"Pop22",0.230765,14,22,FALSE,13,"Isotropic",2004
"Pop23",0.2027375,13,23,FALSE,13,"Isotropic",2004
"Pop24",0.1991025,11,24,FALSE,13,"Isotropic",2004
"Pop25",0.2069675,11,25,TRUE,13,"Isotropic",2004
"Pop01",0.13183,8,1,TRUE,14,"Isotropic",2004
"Pop02",0.142625,9,2,FALSE,14,"Isotropic",2004
"Pop03",0.16008,9,3,FALSE,14,"Isotropic",2004
"Pop04",0.1614,12,4,FALSE,14,"Isotropic",2004
"Pop05",0.182825,15,5,FALSE,14,"Isotropic",2004
"Pop06",0.15972,14,6,FALSE,14,"Isotropic",2004
"Pop07",0.211425,16,7,FALSE,14,"Isotropic",2004
"Pop08",0.235135,15,8,FALSE,14,"Isotropic",2004
"Pop09",0.19639,15,9,FALSE,14,"Isotropic",2004
"Pop10",0.2457975,14,10,FALSE,14,"Isotropic",2004
"Pop11",0.2395,15,11,FALSE,14,"Isotropic",2004
"Pop12",0.20087,15,12,FALSE,14,"Isotropic",2004
"Pop13",0.2334225,15,13,FALSE,14,"Isotropic",2004
"Pop14",0.246375,15,14,FALSE,14,"Isotropic",2004
"Pop15",0.2174225,15,15,FALSE,14,"Isotropic",2004
"Pop16",0.2252075,15,16,FALSE,14,"Isotropic",2004
